sg,window,negative,ns_exponent,min_count,hr10,ndcg10,time
1,7,10,-1.0,5,0.014,0.007003067673208014,26.5
1,7,10,-1.0,10,0.018,0.010348273913501009,14.5
1,7,10,-0.5,3,0.012,0.005666309632648866,42.3
1,7,10,-0.5,5,0.018,0.008623533777218733,27.0
1,7,10,-0.5,10,0.022,0.013268383075028208,14.3
1,7,10,0.0,3,0.018,0.009227566278790076,44.4
1,7,10,0.0,5,0.018,0.009860120020827177,27.9
1,7,10,0.0,10,0.022,0.01200056762344056,14.0
1,7,10,0.5,3,0.02,0.009345241225018968,41.6
1,7,10,0.5,5,0.02,0.011114645513577904,25.8
1,7,10,0.5,10,0.024,0.012058654383728348,15.0
1,7,10,1.0,3,0.016,0.007505533128863636,33.0
1,7,10,1.0,5,0.014,0.00797427388135896,21.8
1,7,10,1.0,10,0.024,0.012781312180244567,13.2
1,7,15,-1.0,3,0.01,0.004967502551596015,56.2
1,7,15,-1.0,5,0.01,0.006151897142998606,35.7
1,7,15,-1.0,10,0.022,0.01177067673920062,19.9
1,7,15,-0.5,3,0.014,0.00915894953638491,64.0
1,7,15,-0.5,5,0.018,0.010016706153822672,36.5
1,7,15,-0.5,10,0.022,0.01253785878578441,18.5
1,7,15,0.0,3,0.016,0.008188351776963792,51.5
1,7,15,0.0,5,0.02,0.011287872185601157,31.6
1,7,15,0.0,10,0.022,0.011799718292927325,17.6
1,7,15,0.5,3,0.02,0.008956228455528379,52.0
1,7,15,0.5,5,0.018,0.009990275765363033,30.4
1,7,15,0.5,10,0.02,0.01156341311294224,19.8
1,7,15,1.0,3,0.018,0.009444329466696951,51.1
1,7,15,1.0,5,0.022,0.011455484652786636,38.3
1,7,15,1.0,10,0.024,0.012600765502263028,21.5
1,10,5,-1.0,3,0.01,0.007440372281135749,28.3
1,10,5,-1.0,5,0.014,0.007246425246579403,18.8
1,10,5,-1.0,10,0.02,0.011543849875334317,10.7
1,10,5,-0.5,3,0.014,0.008030374840731188,32.8
1,10,5,-0.5,5,0.016,0.008010824336412915,20.9
1,10,5,-0.5,10,0.022,0.010168788539355867,11.7
1,10,5,0.0,3,0.018,0.00823192844106302,32.9
1,10,5,0.0,5,0.02,0.010333619893150535,20.4
1,10,5,0.0,10,0.022,0.01116878853935587,10.6
1,10,5,0.5,3,0.016,0.009190213889469286,29.9
1,10,5,0.5,5,0.022,0.01009741053425422,20.1
1,10,5,0.5,10,0.022,0.011306545910855894,10.4
1,10,5,1.0,3,0.018,0.00931772728128661,27.7
1,10,5,1.0,5,0.02,0.01251241373076673,18.6
1,10,5,1.0,10,0.022,0.011483715760006443,10.2
1,10,10,-1.0,3,0.012,0.007121178719300997,53.9
1,10,10,-1.0,5,0.018,0.008785393278894155,34.4
1,10,10,-1.0,10,0.02,0.010763981379832118,18.5
1,10,10,-0.5,3,0.016,0.00802610849954701,56.3
1,10,10,-0.5,5,0.024,0.011709557290430791,35.4
1,10,10,-0.5,10,0.022,0.00958376370816788,18.3
1,10,10,0.0,3,0.02,0.010060688287717053,57.8
1,10,10,0.0,5,0.02,0.01058617287565788,36.2
1,10,10,0.0,10,0.02,0.011651232406103154,18.4
1,10,10,0.5,3,0.02,0.009694118091055963,56.0
1,10,10,0.5,5,0.02,0.012480977586199142,34.2
1,10,10,0.5,10,0.022,0.010656805067889935,18.3
1,10,10,1.0,3,0.016,0.008158777744901698,49.5
1,10,10,1.0,5,0.018,0.009470685728121616,32.4
1,10,10,1.0,10,0.022,0.010916050314313933,18.2
1,10,15,-1.0,3,0.018,0.00972580509295305,79.4
1,10,15,-1.0,5,0.024,0.012520623806460726,49.5
1,10,15,-1.0,10,0.022,0.00975629884366219,26.4
1,10,15,-0.5,3,0.018,0.008203683818492714,80.7
1,10,15,-0.5,5,0.02,0.009565979495266334,47.2
1,10,15,-0.5,10,0.022,0.010213927798175418,23.1
1,10,15,0.0,3,0.02,0.010397477515727668,69.4
1,10,15,0.0,5,0.022,0.01139176748980112,42.9
1,10,15,0.0,10,0.022,0.011987524140504352,23.1
1,10,15,0.5,3,0.018,0.008971697861197064,66.3
1,10,15,0.5,5,0.018,0.0101587777449017,42.0
1,10,15,0.5,10,0.022,0.010906039519859764,22.9
1,10,15,1.0,3,0.016,0.00909748650464866,58.2
1,10,15,1.0,5,0.018,0.009424938020572237,39.6
1,10,15,1.0,10,0.022,0.012018096957059781,22.5
